"season","first_name","last_name","position","origin","destination","transfer_date","rating","stars","eligibility"
2021,"Bronson","Boyd","CB","Utah",NA,2020-11-02,NA,3,"TBD"
2021,"Zak","Simon","WR","Massachusetts",NA,2020-11-02,NA,3,"TBD"
2021,"Jernard","Phillips","WR","South Florida",NA,2020-11-02,NA,3,"TBD"
2021,"Chandler","Zavala","IOL","Fairmont State","NC State",2020-10-30,0.82,3,"Immediate"
2021,"Cornelius","Evans","LB","Georgia Tech",NA,2020-10-30,NA,3,"TBD"
2021,"Tre","Lawson","DL","Mississippi State",NA,2020-10-29,NA,3,"TBD"
2021,"Jahkeem","Green","DT","Nebraska","South Carolina",2021-01-15,0.8,3,"Immediate"
2021,"Jahmon","McClendon","RB","UCLA","SE Louisiana",2020-10-29,NA,3,"TBD"
2021,"Yahweh","Jeudy","LB","Iowa",NA,2020-10-29,NA,3,"TBD"
2021,"Maurice","Massey","WR","Missouri",NA,2020-10-28,NA,3,"TBD"
2021,"Deondrick","Glass","RB","Oklahoma State",NA,2020-10-28,0.83,3,"TBD"
2021,"Nick","Roberts","S","South Florida",NA,2020-10-27,NA,3,"TBD"
2021,"Dimitrios","Mitsopoulos","WR","Miami (OH)",NA,2020-10-27,NA,3,"TBD"
2021,"Ton'Quez","Ball","CB","Tulane",NA,2020-10-27,NA,3,"TBD"
2021,"Cooper","Lucas","LB","Arkansas State",NA,2020-10-27,NA,NA,"TBD"
2021,"Kelton","Dawson","DL","Georgia Tech",NA,2020-10-27,NA,3,"Immediate"
2021,"Demarcus","Governor","CB","Central Michigan","Northern Iowa",2020-10-26,NA,3,"TBD"
2021,"Eli","Williams","QB","TCU",NA,2020-10-26,NA,3,"TBD"
2021,"Ethan","Rinke","WDE","Tennessee","South Alabama",2020-10-11,NA,3,"Immediate"
2021,"Devyn","Butler","CB","Texas Tech",NA,2020-10-22,NA,2,"TBD"
2021,"Seun","Oluwatimi","DL","Maryland",NA,2020-10-22,NA,NA,"TBD"
2021,"Brandon","Hill","LB","Duke",NA,2020-10-22,NA,3,"Immediate"
2021,"Tavian","Mayo","CB","West Virginia",NA,2020-10-21,NA,3,"TBD"
2021,"Jordan","Oliver","CB","UL Monroe",NA,2020-10-21,NA,2,"TBD"
2021,"Garnett","Burke","S","North Texas","Blinn College",2020-10-20,NA,3,"Immediate"
2021,"Daquon","Green","WR","Murray State",NA,2020-10-20,NA,4,"Immediate"
2021,"Charles","Thomas","LB","Michigan",NA,2020-10-19,NA,3,"TBD"
2021,"Nick","Orekoya","RB","Massachusetts",NA,2020-10-18,NA,NA,"Immediate"
2021,"Billy","Ross","OT","North Carolina","Marshall",2020-10-18,0.8,3,"TBD"
2021,"Marcus","Romboli","DL","Central Michigan",NA,2020-10-14,NA,2,"TBD"
2021,"Gabe","Garber","ATH","Kansas","Kansas State",2020-10-13,NA,NA,"TBD"
2021,"TJ","Goodwin","PRO","UTEP",NA,2020-10-13,NA,NA,"TBD"
2021,"Quincy","Lenton","S","Florida",NA,2020-10-13,NA,3,"Immediate"
2021,"Jayme","Simmons","OT","UAB",NA,2020-10-09,NA,3,"TBD"
2021,"Antwuan","Branch","RB","North Carolina",NA,2020-10-09,NA,3,"TBD"
2021,"Eric","Cuffee","CB","New Mexico",NA,2020-10-08,NA,3,"Immediate"
