"","athlete_id","first_name","last_name","team","season","post_ppa","years_in_college","prev_pass_yds","prev_pass_td","prev_avg_ppa","dest_off_ppa","dest_sp_offense","is_transfer"
"819",5095245,"Andre","Washington","South Carolina State",2023,2.599,2,84,0,0.625,NA,NA,0
"820",5096813,"Channing","Dumas","Prairie View A&M",2023,0.285,2,37,0,0.154,NA,NA,0
"821",102597,"Will","Rogers","Washington",2024,114.748,3,1626,12,0.599,0.236511380430271,27.3,1
"822",4360689,"Tyler","Shough","Louisville",2024,165.139,6,746,7,0.604,0.298001961398807,37.7,1
"823",4360890,"Jordan","McCloud","Texas State",2024,182.655,6,3670,35,0.683,0.259107845791645,34.2,1
"824",4361025,"Jack","Tuttle","Michigan",2024,3.956,6,130,1,0.882,0.113442905056408,24.1,0
"825",4362159,"Alan","Bowman","Oklahoma State",2024,115.336,7,3460,15,0.607,0.192044825392954,29.4,0
"826",4373895,"Ben","Wooldridge","Louisiana",2024,143.985,6,508,5,0.565,0.286036925533786,31.5,0
"827",4379400,"Matthew","Downing","Elon",2024,115.056,7,1901,19,0.585,NA,NA,0
"828",4384603,"Will","McElvain","Central Arkansas",2024,79.139,6,2373,22,0.644,NA,NA,0
"829",4426335,"Graham","Mertz","Florida",2024,32.224,6,2878,20,0.728,0.200082226102935,31.7,0
"830",4426417,"Jacob","Zeno","UAB",2024,34.011,6,3126,20,0.736,0.166526110353194,25.9,0
"831",4426430,"Taisun","Phommachanh","Massachusetts",2024,82.715,6,1507,6,0.612,0.155768724304245,20.5,0
"832",4426444,"Connor","Bazelak","Bowling Green",2024,131.882,6,1935,12,0.606,0.220550923334049,25.6,0
"833",4426499,"Hank","Bachmeier","Wake Forest",2024,99.511,6,2058,10,0.677,0.118870814279978,25.8,1
"834",4426657,"Ryan","Hilinski","Northwestern",2024,1.444,6,88,1,0.5,0.00731813214502136,17.5,0
"835",4426687,"Johnathan","Bennett","The Citadel",2024,115.453,6,6,0,0.167,NA,NA,1
"836",4426688,"Kaiden","Bennett","Sacramento State",2024,-0.656,6,2059,14,0.647,0.144380224007458,NA,0
"837",4426847,"Zach","Calzada","Incarnate Word",2024,222.09,6,2551,19,0.664,NA,NA,0
"838",4426884,"Quincy","Casey","West Georgia",2024,77.726,3,961,7,0.609,NA,NA,1
"839",4426894,"Dante","Chachere","Portland State",2024,159.463,6,1573,16,0.619,NA,NA,0
"840",4427191,"Dequan","Finn","Baylor",2024,4.874,6,2651,22,0.634,0.223795676116209,33.5,1
"841",4427238,"Dillon","Gabriel","Oregon",2024,215.726,6,3660,30,0.693,0.305999901959537,40.8,1
"842",4427243,"Brett","Gabbert","Miami (OH)",2024,87.924,6,1634,14,0.59,0.142372596857437,23.2,0
"843",4427313,"Ta'Quan","Roberson","Kansas State",2024,-1.659,6,2075,12,0.583,0.284083404781418,33,1
"844",4427354,"Jarrett","Guest","Bryant",2024,66.022,6,696,7,0.721,NA,NA,1
"845",4427455,"Cade","McNamara","Iowa",2024,26.796,6,505,4,0.511,0.142311222529448,27,0
"846",4427731,"Tyler","Knoop","Stony Brook",2024,83.347,3,2303,19,0.638,NA,NA,1
"847",4427911,"Hollis","Mathis","William & Mary",2024,58.11,6,44,0,0.429,NA,NA,0
"848",4427936,"Grayson","McCall","NC State",2024,16.615,6,1919,10,0.674,0.228726829420075,29.9,1
"849",4427949,"Clifton","McDowell","McNeese",2024,74.971,6,1818,12,0.588,NA,NA,1
"850",4427966,"Maverick","McIvor","Abilene Christian",2024,143.92,6,1857,15,0.562,NA,NA,0
"851",4428439,"Collin","Schlee","Virginia Tech",2024,9.325,6,217,2,0.532,0.15814104177642,31.3,1
"852",4428693,"Trent","Tompkins","UC Davis",2024,51.638,4,0,0,0,NA,NA,0
"853",4428805,"Connor","Watkins","Villanova",2024,72.966,4,2682,20,0.563,NA,NA,0
"854",4428993,"Haynes","King","Georgia Tech",2024,154.785,4,2842,27,0.616,0.240743377534111,31.1,0
"855",4429020,"DJ","Uiagalelei","Florida State",2024,25.485,4,2638,21,0.571,0.0403923992651197,20.1,1
"856",4429032,"Hudson","Card","Purdue",2024,40.923,4,2387,15,0.589,0.0701060575103315,19.2,0
"857",4429066,"Jeff","Sims","Arizona State",2024,8.575,4,282,1,0.596,0.289117892516447,32.4,1
"858",4429068,"Ethan","Garbers","UCLA",2024,130.321,4,1136,11,0.671,0.137710751667826,21.3,0
"859",4429088,"Drew","Pyne","Missouri",2024,-4.983,4,273,2,0.531,0.179579008570234,33.7,1
"860",4429145,"Harrison","Bailey","Louisville",2024,17.209,4,51,1,0.6,0.298001961398807,37.7,0
"861",4429149,"Brendon","Lewis","Nevada",2024,145.9,4,1313,2,0.555,0.2145624458839,21,0
"862",4429179,"Aidan","Bouman","South Dakota",2024,155.075,4,2551,15,0.668,NA,NA,0
"863",4429435,"Brady","Cook","Missouri",2024,124.752,4,3302,21,0.662,0.179579008570234,33.7,0
"864",4429463,"Jacolby","Criswell","North Carolina",2024,114.728,4,143,3,0.63,0.209774227406886,31.5,1
"865",4429582,"Joe","Fagnano","UConn",2024,72.934,6,173,0,0.514,0.179059341693797,26.9,0
"866",4429595,"Chandler","Fields","Louisiana",2024,61.562,6,1069,7,0.671,0.286036925533786,31.5,0
"867",4429620,"Justin","Fomby","North Carolina A&T",2024,27.681,3,158,1,0.833,NA,NA,1
"868",4429801,"Tucker","Gleason","Toledo",2024,144.694,4,383,4,0.509,0.101761707575995,24.5,0
"869",4429847,"Garrett","Greene","West Virginia",2024,147.164,4,2406,16,0.529,0.209138205983223,30.1,0
"870",4429955,"Will","Howard","Ohio State",2024,270.457,4,2643,24,0.612,0.376009845114547,39.5,1
"871",4430033,"Cooper","Legas","Tulsa",2024,39.618,6,1815,19,0.648,0.0910308485151769,21.2,1
"872",4430431,"Kurtis","Rourke","Indiana",2024,184.75,6,2207,11,0.635,0.324062865356398,35,1
