"","season","athlete_id","name","position","team","conference","avg_PPA_all","avg_PPA_pass","avg_PPA_rush","avg_PPA_first_down","avg_PPA_second_down","avg_PPA_third_down","avg_PPA_standard_downs","avg_PPA_passing_downs","total_PPA_all","total_PPA_pass","total_PPA_rush","total_PPA_first_down","total_PPA_second_down","total_PPA_third_down","total_PPA_standard_downs","total_PPA_passing_downs","countable_plays"
"66",2021,"4035225","Nick Starkel","QB","San José State","MWC",0.197,0.193,1.074,-0.003,0.394,0.393,0.123,0.302,51.314,49.138,3.222,-0.284,29.564,28.269,18.727,32.587,NA
"67",2021,"4035312","Anthony Brown","QB","Oregon","PAC",0.3,0.291,0.329,0.177,0.258,0.681,0.214,0.435,161.317,118.861,42.456,40.091,48.777,75.585,70.756,90.561,NA
"68",2021,"4035319","Kobay White","WR","Boston College","ACC",1.22,1.22,NA,NA,1.22,NA,-0.437,2.877,2.441,2.441,0,0,2.441,0,-0.437,2.877,NA
"69",2021,"4035387","Reginald Todd","WR","Troy","SBC",0.827,0.776,1.337,0.293,0.95,1.237,0.452,1.335,27.279,23.268,4.011,3.22,10.455,13.603,8.584,18.694,NA
"70",2021,"4035430","Lindsey Scott Jr.","QB","Nicholls","",0.572,0.527,0.694,0.285,0.69,0.88,0.239,0.986,42.348,28.461,13.887,8.56,17.951,15.837,9.816,32.531,NA
"71",2021,"4035460","Zerrick Cooper","QB","Jacksonville State","",-0.225,-0.355,0.515,-0.302,0.075,-0.307,-0.378,-0.072,-8.995,-12.084,3.089,-4.829,0.821,-3.681,-7.56,-1.435,NA
"72",2021,"4035493","Nate Craig-Myers","WR","UCF","AAC",2.478,2.478,NA,NA,NA,3.702,1.919,2.758,7.434,7.434,0,0,0,3.702,1.919,5.515,NA
"73",2021,"4035525","Zeb Noland","QB","South Carolina","SEC",0.277,0.315,-0.081,-0.008,0.398,0.433,0.045,0.471,31.584,32.47,-0.886,-0.294,13.937,14.288,2.361,29.223,NA
"74",2021,"4035526","Chase Allen","TE","Iowa State","B12",0.689,0.689,NA,0.887,0.593,0.078,0.716,0.639,17.919,17.919,0,10.646,7.118,0.155,12.168,5.751,NA
"75",2021,"4035571","Tobias Enlow","WR","Central Arkansas","",-0.296,-0.296,NA,-0.296,NA,NA,-0.296,NA,-0.296,-0.296,0,-0.296,0,0,-0.296,0,NA
"76",2021,"4035573","Grayson Gunter","TE","Southern Miss","CUSA",0.951,0.951,NA,0.379,1.498,1.931,0.598,1.587,13.315,13.315,0,3.029,4.493,5.793,5.378,7.937,NA
"77",2021,"4035576","T.J. Hammonds","RB","Arkansas","SEC",-0.754,NA,-0.754,NA,-0.754,NA,NA,-0.754,-0.754,0,-0.754,0,-0.754,0,0,-0.754,NA
"78",2021,"4035583","Jordan Jones","WR","Cincinnati","AAC",1.069,1.069,NA,1.171,0.045,2.914,1.171,1.001,5.346,5.346,0,2.342,0.09,2.914,2.342,3.004,NA
"79",2021,"4035607","Amir Rasul","RB","Middle Tennessee","CUSA",-0.164,0.228,-0.199,-0.178,-0.343,0.062,-0.168,-0.144,-7.865,0.911,-8.776,-3.922,-5.492,0.432,-6.566,-1.299,NA
"80",2021,"4035693","Velus Jones Jr.","WR","Tennessee","SEC",0.832,0.828,1.17,0.409,0.439,1.519,0.54,1.344,64.079,62.908,1.17,13.484,8.337,34.927,26.455,37.624,NA
"81",2021,"4035695","Vavae Malepeai","RB","USC","PAC",0.073,-0.107,0.102,-0.168,0.06,0.533,0.084,0.05,6.885,-1.395,8.281,-7.412,1.859,9.587,5.386,1.499,NA
